JobRefNo,DigerPozisyon,Qualifications,sub-classification
3463938,Mutfak Komisi,"<p>GENEL NİTELİKLER</p><p>. Lise veya MYO aşçılık bölümlerinde okuyan veya mezun,</p><p>. Restoran mutfaklarında deneyimli,</p><p>. Hijyen kurallarına dikkat eden, temizliğe özen gösteren,</p><p>. İnsan ilişkilerinde başarılı, müşteri memnuniyetine önem veren,</p><p>. Ekip çalışmasına önem veren,</p><p>. Vardiya sistemine uyum sağlayabilecek.</p><p>İŞ TANIMI</p><p>. Ürünlerinin şirket standartlarına göre hazırlığını, üretimini ve takibini yapmak,</p><p>. Malzemeleri tartarak hazırlama, teslim alınan ürünlerin ilgili alanlara (soğuk oda,depo vb.) yerleştirilmesi, sebze ve meyvelerin işlenmeye hazır hale getirilmesi vb. görevlerle bağlı bulunduğu şefin idaresinde mutfak operasyonuna destek vermek.&nbsp;</p><p>İstanbul Alibeyköy Vialand Tema Park içerisinde yer alan işletmemiz için ''Mutfak Komisi'' arayışımız bulunmaktadır.</p><p><br></p><p><br></p>",Mutfak Hizmetleri
3463906,Çay Servis ve Temizlik Elemanı,"<p><strong>İş Tanımı</strong></p><p><strong><span>ANKARA KEÇİÖREN YÜKSELTEPE BİREY VİP KURS&nbsp;BÜNYESİNDE&nbsp;GÖREV YAPMAK ÜZERE;<br><br>KURSUMUZUN ÇAY-YEMEK VE TEMİZLİK&nbsp;KADROSUNDA&nbsp;GÖREVLENDİRMEK ÜZERE&nbsp;SORUMLULUK SAHİBİ VE İŞ DİSİPLİNİ OLAN ÇALIŞMA ARKADAŞLARI ARANMAKTADIR.</span></strong></p><p><strong>Aranan Nitelikler</strong></p><p><strong><span>- OKUL ORTAMINDA ÖĞRENCİLERE YAKLAŞIMDA MESAFELİ VE HASSAS,<br></span></strong></p><p><strong>-&nbsp;ÇALIŞKAN, GÜLER YÜZLÜ, ENERJİK, GÜVENİLİR, TİTİZ, DIŞ GÖRÜNÜŞÜNE VE&nbsp;İŞ DİSİPLİNİNE ÖNEM VEREN,<br></strong></p><p><strong>-&nbsp;PERSONEL YEMEĞİNİN EN İYİ ŞEKİLDE YAPILMASI VE SERVİS EDİLMESİ,<br></strong></p><p><strong>-&nbsp;MUTFAK ALANI VE KULLANILAN MALZEMELERİN TEMİZLİĞİ, DÜZENİ VE SAĞLIKLI KULLANILMASININ SAĞLANMASI,<br></strong></p><p><strong>-&nbsp;MUTFAK VE TEMİZLİK İHTİYAÇLARININ BELİRLENMESİ VE TEMİNİ İÇİN ZAMANINDA İLGİLİ BİRİM İLE İLETİŞİM KURULMASI,<br></strong></p><p><strong>-&nbsp;OFİS GENEL TEMİZLİĞİNİN YAPILMASI,<br></strong></p><p><strong>-&nbsp;DEZENFEKSİYON MADDELERİ KULLANIMI KONUSUNDA BİLGİLİ,<br></strong></p><p><strong>-&nbsp;YOĞUN İŞ TEMPOSUNA UYUM SAĞLAYABİLECEK&nbsp;ÇALIŞMA ARKADAŞLARI ARANMAKTADIR.</strong></p>",Yiyecek / İçecek Servisi
3463879,Romence Tercüman,"<p>Üniversitelerin ilgili bölümlerinden mezun,</p><p>&nbsp; &nbsp; &nbsp;Romence ve Türkçe'yi ileri seviyede&nbsp; yazılı ve sözlü olarak kullanabilecek,</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">&nbsp; &nbsp; &nbsp; Tercihen sağlık sektöründe deneyimli ve/veya sektöre yönelik kariyer planı bulunan,</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;İlişki yönetimi konusunda başarılı ve iletişim becerileri gelişmiş,</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Ekip çalışmasına önem veren,</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;İfade yeteneği yüksek, diksiyonu düzgün, prezentabl</p><p><br color="""" color=""""></p><p>Romence Tercüman aramaktayız.</p>",Tercüme Hizmetleri
3463868,Temizlik Görevlisi,"<p>Profesyonel Tesis Yönetimi yaptığımız projelerimize Temizlik Personeli Arıyoruz.</p><p>Aranan Nitelikler,</p><p>Temizlik işini bilen,&nbsp;</p><p>Tecrübeli,&nbsp;</p><p>Daha önce site projelerinde çalışmış</p><p>Makina ve Kimyasal konularında bilgili,</p><p>Tercihen Cam silmeyi bilen,</p><p>Görünümüne önem veren,</p>",Temizlik Hizmetleri
3463848,Destek Elemanı,<p>pazarlama satış da yardımcı vasıfsız yetiştirilmek üzere hafif iş yükleme indirme yapabilecek +depoda yardımcı olacak iş akışına göre esnek çalışma saatine uyacak uzun vadeli iş arkadaşları ile uyumlu çalışabilecek bay arkadaşlar. ssk+ yol + yemek+</p>,Destek
3463830,Aşçı/Aşçı Yardımcısı,"<p class=""x_x_x_MsoNormal"">Turizm ve Konaklama sektöründe faaliyet gösteren “Fraser Place Anthill İstanbul” da&nbsp; &nbsp;“Aşçı ve Aşçı Yardımcısı” pozisyonlarında çalışacak takım arkadaşları aramaktayız.<br></p><p class=""x_x_x_MsoNormal"">AŞÇI</p><p class=""x_x_x_MsoNormal"">•&nbsp;En az 3 yıl beş yıldızlı otellerde benzer pozisyonlarda çalışmış,</p><p class=""x_x_x_MsoNormal"">• Takım çalışmasına yatkın&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</p><p class=""x_x_x_MsoNormal"">• İnsan ilişkileri başarılı ve iletişim gücü yüksek&nbsp; &nbsp; &nbsp;</p><p class=""x_x_x_MsoNormal"">• Dış görünümüne özen gösteren&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp;</p><p class=""x_x_x_MsoNormal"">• Gıda güvenliği ve hijyen konuları hakkında bilgi sahibi olan</p><p class=""x_x_x_MsoNormal"">• Vardiyalı sisteme ve esnek çalışma saatlerine uyum sağlayabilecek</p><p class=""x_x_x_MsoNormal"">&nbsp; &nbsp; &nbsp; &nbsp; &nbsp;------------------------------------------------------------------------------</p><p class=""x_x_x_MsoNormal"">AŞÇI YARDIMCISI</p><p class=""x_x_x_MsoNormal"">• En az 1 yıl tecrübe sahibi, </p><p class=""x_x_x_MsoNormal"">• Ekip çalışmasına yatkın, </p><p class=""x_x_x_MsoNormal"">• Esnek çalışma saatlerine uyum sağlayabilen, </p><p class=""x_x_x_MsoNormal"">• Gıda güvenliği ve hijyen konuları hakkında bilgi sahibi olan,</p><p class=""x_x_x_MsoNormal"">• Güler yüzlü, </p><p class=""x_x_x_MsoNormal"">• Gelişim ve öğrenime açık ve istekli,</p><p>• Vardiyalı sisteme ve esnek çalışma saatlerine uyum sağlayabilecek<br></p>",Aşçılık
3463828,Bayan Eczane Teknisyeni,"<p>PENDİK YA DA TUZLA DA İKAMET EDEN , GÜLERYÜZLÜ, HASTA İLETİŞİM BECERİSİ YÜKSEK, EN AZ BİR YIL DENEYİMLİ BAYAN ECZANE TEKNİKERİ ARIYORUZ.ECZANE E5 ÜZERİNDE OLUP MARMARAY VE OTOBÜS İLE ULAŞIMI ÇOK KOLAY YERDEDİR</p>",Destek
3463821,Yemek ve Genel Temizlik Görevlisi (Bayan Personel),"<p class=""x_contentpasted0""><strong><u>GENEL NİTELİKLER VE İŞ TANIMI:</u></strong></p><p class=""x_contentpasted0""><strong>Şirketimiz bünyesinde&nbsp; çalıştırılmak üzere bayan Yemek ve Genel Temizlik Personeli alınacaktır..</strong></p><p class=""x_contentpasted0""><strong>&nbsp;</strong></p><p class=""x_contentpasted0""><strong><u>Aşağıda belirtilen niteliklere uygun&nbsp;YEMEK VE GENEL TEMİZLİK PERSONELİ&nbsp;aranmaktadır.</u></strong></p><p class=""x_contentpasted0""><strong>&nbsp;</strong></p><p class=""x_contentpasted0""><strong>Çalışmayı seven, temizliğe ve hijyene önem veren, titiz, sorumluluk sahibi , pratik personel aramaktayız..</strong></p><p class=""x_contentpasted0""><strong>&nbsp;</strong></p><p class=""x_contentpasted0""><strong><em>İş Tanımı :</em></strong></p><p class=""x_contentpasted0""><strong>-Şirketimizde 8 ile 10 kişi arasında öğle yemeği yapacak,<br><br>-Yemek ,Çay, kahve servisi yapacak, Showroom u temiz tutacak ...</strong></p><p class=""x_contentpasted0""><strong>&nbsp;</strong></p><p class=""x_contentpasted0""><strong>Günlük İşyeri Ofis ve Showroom &nbsp;temizliği, ikram ve genel düzenden sorumlu,</strong></p><p class=""x_contentpasted0""><strong>Çay ve kahve ikram servisi,</strong></p><p class=""x_contentpasted0""><strong>Gelen müşterilerin ağırlanması,</strong></p><p class=""x_contentpasted0""><strong>Mağaza ve ofis içi , odalar, tuvaletler, mutfak ve diğer ortak alanların periyodik temizlik işlerinin ilgili çalışma talimatına uygun olarak yapılması …</strong></p><p class=""x_MsoNormal"">&nbsp;</p><p class=""x_contentpasted0""><strong>-Sabah 08:30 ile Öğleden Sonra 15:00 arasında çalışacaktır. PART TIME<br>-Hafta sonu tatil –<br><br>6500 TL + Sigorta</strong></p><p><br><br><br></p>",Temizlik Hizmetleri
3463817,Sipariş Sorumlusu,"<p>Mekanik Perde Fabrikasında Çalışmak Üzere Sipariş Sorumlusu’na İhtiyaç Vardır. Pozisyon İle İlgili Kısa Görev Tanımı ve Adayların Taşıması Gereken Özellikler Aşağıdaki Gibidir;&nbsp;</p><p>&nbsp;</p><p><strong><u>GENEL NİTELİK VE İŞ TANIMI</u></strong></p><p>&nbsp;</p><p><strong><u>İŞ TANIMI:</u></strong></p><p>-&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Siparişlerin Alınması</p><p>-&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Alınan Siparişlerin Üretime Bildirilmesi</p><p>-&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Üretimdeki Siparişlerin Kontrol ve Takibinin Yapılması</p><p>&nbsp;</p><p>&nbsp;</p><p><strong><u>GENEL NİTELİKLER:</u></strong></p><p><br></p><p>-&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Office Programlarını İyi Bilen,</p><p>-&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Beşeri İlişkileri Başarılı olan (Müşteri İle İletişimi İyi Yürütebilecek),</p><p>-&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Güler Yüzlü,&nbsp;</p><p>-&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Diksiyonu Düzgün ve Akıcı Konuşan,</p><p>-&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Tercihen Perakende Sektöründe Deneyimli,</p><p>-&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Dikkatli ve Özenli Çalışan,</p><p>-&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Takım çalışmasını seven,</p><p>-&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Erkek Adaylar İçin Askerlik Hizmetini Tamamlamış.</p>",Sipariş Takip
3463793,Butler,"<p class=""x_MsoNormal""><strong>Butler | Lara Barut Collection Otel | Antalya | Muratpaşa</strong></p><p class=""x_MsoNormal""><strong>Kurum Adı:</strong>&nbsp;BAND TUR. Ve TİC. A.Ş.&nbsp;</p><p class=""x_MsoNormal""><strong>Departman Adı:</strong> F&B<strong></strong></p><p class=""x_MsoNormal""><strong>Pozisyon Adı:</strong>&nbsp;Butler</p><p class=""x_MsoNormal""><strong>Çalışma Türü:</strong>&nbsp;Tam Zamanlı</p><p class=""x_MsoNormal""><strong>Şehir:&nbsp;</strong>Antalya | Muratpaşa<strong>&nbsp;</strong></p><p class=""x_MsoNormal""></p><p class=""x_MsoNormal""><strong>ŞİRKETİMİZ ve POZİSYON HAKKINDA:&nbsp;</strong><strong>&nbsp;</strong></p><p class=""x_MsoNormal"">Barut Hotels, 1971 yılında Side’de faaliyetlerine başlamış yarım asırlık bir otelcilik markasıdır.&nbsp;</p><p class=""x_MsoNormal"">Kurulduğu günden bu yana yalnızca turizm sektöründe faaliyet gösteren Barut Hotels, tarafsız platform ve kuruluşlar tarafından her yıl onlarca ödül ile taçlandırılmaktadır.&nbsp;</p><p class=""x_MsoNormal"">Barut Hotels; çalışanları, paydaşları ve misafirlerinin güvendiği, köklü ve güçlü bir markadır.</p><p class=""x_MsoNormal"">Grup her yıl yüzbinlerce misafir ağırlamaktadır ve %35 yeniden gelen misafir oranına sahiptir.&nbsp;</p><p class=""x_MsoNormal"">BAND Turizm A.Ş. otelleri, Barut Hotels markası altında faaliyet göstermektedir.</p><p class=""x_MsoNormal"">BAND Turizm, Acanthus Cennet Barut Collection, Lara Barut Collection & Bayou Villas otellerinde misafirlerini büyük bir özenle ağırlamaktadır.</p><p class=""x_MsoNormal"">&nbsp;Şirketin Didim’de 147 dönüm alan üzerinde, özel koyunda yapımı devam eden lüks Anda Barut Collection oteli tamamlandığında, bu tesis Barut Hotels’in en büyük oteli konumuna sahip olacaktır.</p><p class=""x_MsoNormal"">BAND Turizm doğa ile iç içe konumlanan geniş bahçelere sahip otellerinde, sanata ve sanatçıya, çevreye, gastronomiye yönelik birçok proje geliştirmekte; sürdürülebilirlik temalı yaklaşımları neticesinde birçok ödül almaktadır.</p><p class=""x_MsoNormal"">Bu dinamik yapısı ve Barut Hotels’ in lüks konsepti Barut Collection segmenti ile hizmet veren şirketimizin Antalya/Muratpaşa ilçesinde yer alan Lara Barut Collection’ da görev alacak Butler arayışı bulunmaktadır.&nbsp;</p><p class=""x_MsoNormal"">Şirketimizin yeniliklerine, hızına, heyecanına ortak olacak; çalışmalarımızın çalışanlarımız, misafirlerimiz ve paydaşlarımıza aktarılmasında önemli bir rol alacak arkadaşımızı arıyoruz.&nbsp;</p><p class=""x_MsoNormal"">Bu büyük aileye katılmak istiyorsanız, başvurularınızı bizimle paylaşmanızdan mutluluk duyarız.<strong>&nbsp;</strong></p><p class=""x_MsoNormal"">&nbsp;</p><p class=""x_MsoNormal""><strong>GENEL NİTELİKLER ve YETKİNLİKLER:&nbsp;</strong></p><p class=""x_MsoListParagraphCxSpFirst"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Turizm ve Otelcilik eğitimi veren meslek lisesi, meslek yüksekokulu veya fakülte mezunu</p><p class=""x_MsoListParagraphCxSpMiddle"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Turizm sektöründe en az 2 yıl tecrübeli,</p><p class=""x_MsoListParagraphCxSpMiddle"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Benzer pozisyonda en az 1 yıl deneyimli,</p><p class=""x_MsoListParagraphCxSpMiddle"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Çok iyi derecede İngilizce ve tercihen ikinci yabancı dil Almanca ya da Rusça bilen,</p><p class=""x_MsoListParagraphCxSpMiddle"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Güler yüzlü, dinamik ve vizyon sahibi,</p><p class=""x_MsoListParagraphCxSpMiddle""></p><p class=""x_MsoListParagraphCxSpMiddle"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Takım çalışmasına önem veren,</p><p class=""x_MsoListParagraphCxSpMiddle"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; İletişim becerileri kuvvetli, problem çözmekte başarılı,</p><p class=""x_MsoListParagraphCxSpMiddle"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Organizasyon becerisine sahip,</p><p class=""x_MsoListParagraphCxSpMiddle"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Diksiyonu düzgün,</p><p class=""x_MsoListParagraphCxSpMiddle"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Bu bölüme gelen özel misafirlerin tüm istekleri ile ilgilenerek bölümler arasında koordinasyonu sağlayabilecek,</p><p class=""x_MsoListParagraphCxSpMiddle"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Temsil yeteneği gelişmiş,&nbsp;</p><p class=""x_MsoNormal""><strong>İş Tanımı:</strong>&nbsp;Lara Barut Collection Otel bünyesi F&B Departmanında görevlendirilmek üzere şirket politikası ve uygulamalarına bağlı olarak çalışacak “ Butler ” aramaktayız.<strong>&nbsp;</strong></p><p class=""x_MsoNormal""><strong>ESAS SORUMLULUKLAR:</strong><strong>&nbsp;</strong></p><p class=""x_MsoListParagraphCxSpFirst"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Villalarda konaklayan misafirlerin TOP VIP statüde olduklarını göz önüne alarak misafirlerle münasebetlerinde buna göre davranır ve görevlerini bu çerçevede yerine getirir.</p><p class=""x_MsoListParagraphCxSpMiddle"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Villalar da konaklayan misafirleri kaldıkları süre boyunca devamlı takip ederek tüm istek ve ihtiyaçlarını karşılar. Bunun için otel ve diğer departmanlarla koordinasyon içinde olarak gerekli organizasyonların yapılmasını sağlar, onlarla yakından ilgilenerek memnun kalmalarını sağlar.</p><p class=""x_MsoListParagraphCxSpMiddle"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Villa misafiri gelmeden önce bar, minibar ve buklet setupları ile birlikte villanın son kontrolünü yapar, eksikleri tamamlar. Önceden tespit edilmiş misafir isteği varsa bunun yerine getirilmesini sağlar. Misafirin kaldığı süre boyunca rutin olarak her gün bu setupları kontrol eder ve eksikleri tamamlar.</p><p class=""x_MsoListParagraphCxSpMiddle"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Misafiri Villa kapısında karşılar, onlarla tanışır ve konaklamaları boyunca onlara kendisinin hizmet vereceğini bildirir.</p><p class=""x_MsoListParagraphCxSpMiddle"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Misafirin eşyalarını odalarına götürür, eğer misafir arzu ediyorsa valizlerini açarak yerleştirir. Eğer yıkanması veya ütülenmesi gereken eşya varsa misafire sorarak H/K ile irtibata geçer ve bu işlemlerin yapılmasını sağlar.</p><p class=""x_MsoListParagraphCxSpMiddle"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Misafire villa ve verdiğimiz servisler hakkında bilgi verir. Kendisine ulaşabilecekleri telefon numarasını bildirir.</p><p></p><p class=""x_MsoListParagraphCxSpLast"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Misafirlerin otel içindeki rezervasyonlarını (a la carte restoran, pavillon servisi gibi) Villa Misafir İlişkileri aracılığı yaptırır. Otel dışındaki aktiviteler için de rezervasyonlarını Villa Misafir İlişkileri aracılığı ile organize eder.(Konserler, şehir turu gibi)</p>",Belirsiz
